candidate,alpha_aud,method,cIoU,AUC,mean_sample_cIoU,num_samples
L4_7,0.5,AUD_SLOT_L4_7_A0.5,0.35478867778208606,0.40582590151221415,0.40559106578074816,5158
L4_7,0.6,AUD_SLOT_L4_7_A0.6,0.38580845288871657,0.4157231485071734,0.4151921720889653,5158
L4_7,0.7,AUD_SLOT_L4_7_A0.7,0.4063590538968592,0.42238270647537807,0.4221361329765589,5158
L4_7,0.8,AUD_SLOT_L4_7_A0.8,0.4183792167506786,0.42572702597906165,0.425556604917395,5158
L4_7,0.9,AUD_SLOT_L4_7_A0.9,0.42458317177200466,0.42604691740984885,0.4256718320978508,5158
L4_HR14,0.5,AUD_SLOT_L4_HR14_A0.5,0.3518805738658395,0.40789065529274915,0.40730600992866556,5158
L4_HR14,0.6,AUD_SLOT_L4_HR14_A0.6,0.37766576192322604,0.41749709189608375,0.4171204313267065,5158
L4_HR14,0.7,AUD_SLOT_L4_HR14_A0.7,0.40461419154711126,0.4245056223342381,0.4239847752406874,5158
L4_HR14,0.8,AUD_SLOT_L4_HR14_A0.8,0.41876696393951146,0.4271616905777433,0.42713888536171,5158
L4_HR14,0.9,AUD_SLOT_L4_HR14_A0.9,0.4236138037999225,0.42688057386583944,0.42662594646873,5158
